latitude,longitude,zero,year,intensity,error
-89,-108,0,2017,54826.49,152
-89,-107,0,2017,54812.93,152
-89,-106,0,2017,54799.38,152
-89,-105,0,2017,54785.83,152
-89,-104,0,2017,54772.29,152
-89,-103,0,2017,54758.77,152
-89,-102,0,2017,54745.26,152
-89,-101,0,2017,54731.78,152
-89,-100,0,2017,54718.32,152
-89,-99,0,2017,54704.89,152
-89,-98,0,2017,54691.5,152
-89,-97,0,2017,54678.14,152
-89,-96,0,2017,54664.83,152
-89,-95,0,2017,54651.56,152
-89,-94,0,2017,54638.35,152
-89,-93,0,2017,54625.18,152
-89,-92,0,2017,54612.08,152
-89,-91,0,2017,54599.03,152
-89,-90,0,2017,54586.05,152
-89,-89,0,2017,54573.14,152
-89,-88,0,2017,54560.31,152
-89,-87,0,2017,54547.55,152
-89,-86,0,2017,54534.87,152
-89,-85,0,2017,54522.27,152
-89,-84,0,2017,54509.77,152
-89,-83,0,2017,54497.35,152
-89,-82,0,2017,54485.04,152
-89,-81,0,2017,54472.82,152
-89,-80,0,2017,54460.7,152
-89,-79,0,2017,54448.69,152
-89,-78,0,2017,54436.79,152
-89,-77,0,2017,54425.01,152
-89,-76,0,2017,54413.34,152
-89,-75,0,2017,54401.8,152
-89,-74,0,2017,54390.37,152
-89,-73,0,2017,54379.08,152
-89,-72,0,2017,54367.92,152
-89,-71,0,2017,54356.89,152
-89,-70,0,2017,54346,152
-89,-69,0,2017,54335.25,152
-89,-68,0,2017,54324.65,152
-89,-67,0,2017,54314.19,152
-89,-66,0,2017,54303.88,152
-89,-65,0,2017,54293.73,152
-89,-64,0,2017,54283.74,152
-89,-63,0,2017,54273.9,152
-89,-62,0,2017,54264.23,152
-89,-61,0,2017,54254.73,152
-89,-60,0,2017,54245.39,152
-89,-59,0,2017,54236.23,152
-89,-58,0,2017,54227.24,152
-89,-57,0,2017,54218.43,152
-89,-56,0,2017,54209.8,152
-89,-55,0,2017,54201.35,152
-89,-54,0,2017,54193.09,152
-89,-53,0,2017,54185.01,152
-89,-52,0,2017,54177.13,152
-89,-51,0,2017,54169.44,152
-89,-50,0,2017,54161.94,152
-89,-49,0,2017,54154.64,152
-89,-48,0,2017,54147.55,152
-89,-47,0,2017,54140.65,152
-89,-46,0,2017,54133.96,152
-89,-45,0,2017,54127.47,152
-89,-44,0,2017,54121.2,152
-89,-43,0,2017,54115.13,152
-89,-42,0,2017,54109.28,152
-89,-41,0,2017,54103.64,152
-89,-40,0,2017,54098.22,152
-89,-39,0,2017,54093.02,152
-89,-38,0,2017,54088.03,152
-89,-37,0,2017,54083.27,152
-89,-36,0,2017,54078.73,152
-89,-35,0,2017,54074.41,152
-89,-34,0,2017,54070.32,152
-89,-33,0,2017,54066.46,152
-89,-32,0,2017,54062.83,152
-89,-31,0,2017,54059.42,152
-89,-30,0,2017,54056.25,152
-89,-29,0,2017,54053.31,152
-89,-28,0,2017,54050.6,152
-89,-27,0,2017,54048.12,152
-89,-26,0,2017,54045.88,152
-89,-25,0,2017,54043.88,152
-89,-24,0,2017,54042.11,152
-89,-23,0,2017,54040.57,152
-89,-22,0,2017,54039.28,152
-89,-21,0,2017,54038.22,152
-89,-20,0,2017,54037.41,152
-89,-19,0,2017,54036.83,152
-89,-18,0,2017,54036.49,152
-89,-17,0,2017,54036.39,152
-89,-16,0,2017,54036.53,152
-89,-15,0,2017,54036.91,152
-89,-14,0,2017,54037.53,152
-89,-13,0,2017,54038.39,152
-89,-12,0,2017,54039.49,152
-89,-11,0,2017,54040.82,152
-89,-10,0,2017,54042.4,152
-89,-9,0,2017,54044.22,152
-89,-8,0,2017,54046.27,152
-89,-7,0,2017,54048.56,152
-89,-6,0,2017,54051.09,152
-89,-5,0,2017,54053.86,152
-89,-4,0,2017,54056.86,152
-89,-3,0,2017,54060.1,152
-89,-2,0,2017,54063.57,152
-89,-1,0,2017,54067.28,152
-89,0,0,2017,54071.21,152
-89,1,0,2017,54075.38,152
-89,2,0,2017,54079.78,152
-89,3,0,2017,54084.41,152
-89,4,0,2017,54089.26,152
-89,5,0,2017,54094.34,152
-89,6,0,2017,54099.65,152
-89,7,0,2017,54105.18,152
-89,8,0,2017,54110.93,152
-89,9,0,2017,54116.9,152
-89,10,0,2017,54123.09,152
-89,11,0,2017,54129.49,152
-89,12,0,2017,54136.11,152
-89,13,0,2017,54142.94,152
-89,14,0,2017,54149.98,152
-89,15,0,2017,54157.23,152
-89,16,0,2017,54164.69,152
-89,17,0,2017,54172.35,152
-89,18,0,2017,54180.21,152
-89,19,0,2017,54188.28,152
-89,20,0,2017,54196.54,152
-89,21,0,2017,54204.99,152
-89,22,0,2017,54213.63,152
-89,23,0,2017,54222.47,152
-89,24,0,2017,54231.49,152
-89,25,0,2017,54240.69,152
